class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
Web,icmp,0.0059488679698447,0.007968233827035,0.002019365857190299,29,25
Web,rst_cnt,0.0057417675976144,0.011250535934747,0.0055087683371325994,30,19
Web,llc,0.0052573386714052,0.0055753136997071,0.00031797502830189974,31,33
Web,arp,0.0051163591743931,0.0063673717243927,0.0012510125499995998,32,29
Web,telnet,0.0047255393039116,0.0097679737621967,0.005042434458285101,33,21
Web,cwr,0.0045810614365699,0.0043233242233636,-0.0002577372132062999,34,37
Web,igmp,0.0042091627388948,0.0052965752164001,0.0010874124775052995,35,35
Web,smtp,0.0040418851854923,0.0039672723068488,-7.461287864349991e-05,36,38
Web,irc,0.0037332893829739,0.0054176048453993,0.0016843154624254005,37,34
Web,ssh,0.0037007868434572,0.0060212654263154,0.0023204785828582,38,31
Web,dhcp,0.0032418144967346,0.0044736515100163,0.0012318370132817003,39,36
